bits,Number of clients ($N$),protocol,Attributes,m,Runtime (sec.)
1,10$^3$,"Mastic $A$ = 1",1,100,0.259740028
0,10$^3$,"Prio $A$ = 1",1,100,0.37510174
32,10$^3$,"Mastic $A$ = 1",1,200,0.335033726
0,10$^3$,"Prio $A$ = 1",1,200,0.331509808
10,10$^3$,"Mastic $A$ = 128",128,100,3.347340213
0,10$^3$,"Prio $A$ = 128",128,100,2.936155064
10,10$^3$,"Mastic $A$ = 1024",1024,100,8.487924284
0,10$^3$,"Prio $A$ = 1024",1024,100,13.918579023

1,10$^4$,"Mastic $A$ = 1",1,100,0.534175798
32,10$^4$,"Mastic $A$ = 1",1,200,0.73483408
0,10$^4$,"Prio $A$ = 1",1,100,0.734144159
0,10$^4$,"Prio $A$ = 1",1,200,0.838786018
10,10$^4$,"Mastic $A$ = 128",128,100,13.650410452
10,10$^4$,"Mastic $A$ = 1024",1024,100,79.258100555
0,10$^4$,"Prio $A$ = 128",128,100,22.724921794
0,10$^4$,"Prio $A$ = 1024",1024,100,126.116855047

1,10$^5$,"Mastic $A$ = 1",1,100,2.8367210160000003
32,10$^5$,"Mastic $A$ = 1",1,200,8.511663215
0,10$^5$,"Prio $A$ = 1",1,100,3.413041584
0,10$^5$,"Prio $A$ = 1",1,200,5.156257857
10,10$^5$,"Mastic $A$ = 128",128,100,213.971247452
10,10$^5$,"Mastic $A$ = 1024",1024,100,643.00001375
0,10$^5$,"Prio $A$ = 128",128,100,462.293865682
0,10$^5$,"Prio $A$ = 1024",1024,100,

1,10$^6$,"Mastic $A$ = 1",1,100,84.80497153
32,10$^6$,"Mastic $A$ = 1",1,200,168.611281317
0,10$^6$,"Prio $A$ = 1",1,100,29.670078103
0,10$^6$,"Prio $A$ = 1",1,200,47.861425861
10,10$^6$,"Mastic $A$ = 128",128,100,3114.869235249
10,10$^6$,"Mastic $A$ = 1024",1024,100,6841.1
0,10$^6$,"Prio $A$ = 128",128,100,
0,10$^6$,"Prio $A$ = 1024",1024,100,
